Company Name,LEI Code
A2A SpA,81560076E3944316DB24
AP Moeller - Maersk A/S,549300D2K6PKKKXVNN73
Aalberts NV,549300EMP9DT6Q35HZ31
Abb Ltd,5493000LKVGOO9PELI61
Accelleron Industries AG,254900KS0MD2PAARXD14
Acciona SA,54930002KP75TLLLNO21
Accor SA,969500QZC2Q0TK11NV07
Acea SpA,549300Q3448N041CTH56
Ackermans & Van Haaren NV,5493005E2GHATS0Z6J59
Addtech AB,549300QZ5U2IDRHPWL60
Adecco Group AG,NI14Y5UMU60O7JE9P611
Adidas AG,549300JSX0Z4CW0V5023
Adient PLC,5493002QLDY8O75RTR78
Aena SME SA,959800R7QMXKF0NFMT29
AerCap Holdings NV,549300SZYINBBLJQU475
Aeroports de Paris SA,969500PJMBSFHYC37989
Airbus SE,MINO79WLOO247M1IL051
Aker ASA,5967007LIEEXZXJ10071
Aker BP ASA,549300NFTY73920OYK69
Aksa Akrilik Kimya Sanayii AS,789000OKY3ICX0Y2NY41
Aksa Enerji Uretim AS,789000KQC5JTW1S3JG98
Akzo Nobel NV,724500XYIJUGXAA5QD70
Alfa Laval AB,549300UCKT2UK88AG251
Alleima AB,529900EBHTYGLA6PGP77
Alstom SA,96950032TUYMW11FB530
Aluflexpack AG,529900ZK9QIQWWPU5T64
Amadeus Fire AG,391200TJJ820ZDHNFJ33
Amcor PLC,549300GSODGFCDQ3DI89
Amer Sports Inc,391200YCSWTRD1J21867
Anadolu Efes Biracilik ve Malt Sanayii AS,7890006LGARYVIPOJX03
Andritz AG,549300VZKC61IR5U8G96
Anglo American PLC,549300S9XF92D1X8ME43
Anheuser-Busch Inbev SA,5493008H3828EMEXB082
Anora Group Oyj,52990007AXNSS4PNX352
Antofagasta PLC,213800MY6QVH4FVLD628
Apetit Oyj,743700RSFZUIQYABYT14
Aptiv PLC,
Aquaporin A/S,894500AW5ZWMYUZN1V70
Arbonia AG,52990053OCTMTW77M139
Arcadis NV,7245000UZH70GO047N03
Arcadium Lithium PLC,5299008YH4W6QL5DPN51
Arcelik AS,789000748KTQCUMJ0R25
ArcelorMittal SA,2EULGUTUI56JI9SAL165
Ardagh Metal Packaging SA,5493009WKQTU4FN9G032
Ariston Holding NV,815600CC86D25A205563
Arkema SA,9695000EHMS84KKP2785
Arriver Holdco Inc,54930082R4LTC7PERT23
Aselsan Elektronik Sanayi ve Ticaret AS,7890008XT4M710MU8714
Ashtead Group PLC,2138007UTBN8X9K1A235
Assa Abloy AB,549300YECS8HKCIMMB67
Associated British Foods PLC,GBQKSY6W7G0OHCQ8OQ72
Athens Water Supply and Sewerage Company SA,213800SA1M6NZ4YSQU91
Atlantica Sustainable Infrastructure Ltd,549300ITBBGKJ651R879
Atlas Copco AB,213800T8PC8Q4FYJZR07
Aurubis AG,5299005SHIN9ZK7GW242
Autoliv Inc,A23RUXWKASG834LTMK28
Autoneum Holding AG,549300FL07XZC5MNXS47
Avolta AG,549300X53WDBVW7TIF57
Axfood AB,549300QIXCZWZLHE8L05
Aygaz AS,7890000PALXE0100Q814
Ayvens SA,969500E7V019H9NP7427
Azelis Group NV,699400M9RRMTV264FM70
B&M European Value Retail SA,213800UK7ZRLY2K1X530
BAE Systems PLC,8SVCSVKSGDWMW2QHOH83
BASF SE,529900PM64WH8AF1E917
BIM Birlesik Magazalar AS,7890001GCDJQD8DJKE29
BKW AG,549300IE30SKTUO98Q38
BP PLC,213800LH1BZH3DI6G760
Babcock International Group PLC,213800TSKOLX4EU6L377
Balfour Beatty PLC,CT4UIJ3TUKGYYHMENQ17
Barratt Redrow PLC,2138006R85VEOF5YNK29
Barry Callebaut AG,213800Y5RWKLDPUTT265
BayWa AG,529900SM0FDLLYATXU36
Bayerische Motoren Werke AG,YEH5ZCD6E441RHVHD759
Beiersdorf AG,L47NHHI0Z9X22DV46U41
Beijer Ref AB (publ),549300PZZEUVH08H4G75
Belimo Holding AG,506700339DLX749VEM23
Bell Food Group AG,50670090YSFJ2732TD58
Bellway PLC,213800CY4L3HST4FGZ98
Berkeley Group Holdings PLC,2138009OQSSLVVHQAL78
Bilfinger SE,529900H0HULEN2BZ4604
Billerud AB (publ),549300YJUYJ9A24RXL71
Boliden AB,21380059QU7IM1ONDJ56
Borregaard ASA,5967007LIEEXZXGYXC05
Bouygues SA,969500MOCLNQFNZN0D63
Brembo NV,549300BLWVJN2BAT0A44
Brenntag SE,NNROIXVWJ7CPSR27SV97
British American Tobacco plc,213800FKA5MF17RJKT63
Broedrene A & O Johansen A/S,5299004B6ZEGVCR9ZR75
Brunello Cucinelli SpA,5493003CX2RZ0FOBH256
Bucher Industries AG,52990014AQ91A29HPB27
Bunzl plc,213800Q1Q9DV4L78UM09
Burberry Group PLC,213800PE1KEFCNFR1R50
Burckhardt Compression Holding AG,5067004N56DLX7GY3E95
Bureau Veritas SA,969500TPU5T3HA5D1F11
Burkhalter Holding AG,3912002Q7RGEIHPQ0J90
Buzzi SpA,5299003DX5YLKSVJ6K59
Bystronic AG,529900OG85OX10GRW920
CECONOMY AG,5299001X9L42HXEBCZ51
CEZ as,529900S5R9YHJHYKKG94
CNH Industrial NV,549300WGC2HZ5J67V817
CRH PLC,549300MIDJNNTH068E74
Capri Holdings Ltd,549300LPG8W0H1OX3A26
Cargotec Corp,5493002B0GOVF42KWX33
Carlsberg A/S,5299001O0WJQYB5GYZ19
Carrefour SA,549300B8P6MUJ1YWTS08
Central Asia Metals PLC,213800EYQBJZIT64NH43
Centrica PLC,E26EDV109X6EEPBKVH76
Cewe Stiftung & Co KGaA,529900IDFHN9MQ3WUD64
Chocoladefabriken Lindt & Spruengli AG,529900JYJNNOKKAGK736
Christian Dior SE,969500WESYQMQ1F2C272
Cimsa Cimento Sanayi ve Ticaret AS,789000AZR4YMJIHZ1145
Clariant AG,529900VSEKBY7TMPP349
Clarkson PLC,2138007G6BGTEHI3OT22
Coats Group PLC,2138003SPYWGAITNFY17
Coca Cola HBC AG,549300EFP3TNG7JGVE49
Coca-Cola Europacific Partners PLC,549300LTH67W4GWMRF57
Coca-Cola Icecek AS,789000WT80VVLUWJDK41
Colruyt Group NV,5493000O0NZ1BCXO8K39
Compagnie Financiere Richemont SA,549300YIPGJ6UX2QPS51
Compagnie de Saint Gobain SA,NFONVGN05Z0FMN5PEC35
Compass Group PLC,2138008M6MH9OZ6U2T68
Componenta Oyj,5493000SDCOXVGZDWK18
Constellium SE,724500KRJEMC79KAAU28
Consti Oyj,743700JMXCC11CRJCS71
Continental AG,529900A7YD9C0LLXM621
Copenhagen Airports A/S,549300Z01GJGM7D3HQ74
Corporacion Acciona Energias Renovables SA,254900UPX0OEHTKB9Y44
Corporacion America Airports SA,959800AWF26KMY2SXF71
Covestro AG,3912005AWHKLQ1CPLV11
Cranswick PLC,549300LDZLPU51XOSK43
Croda International PLC,2138004WCNBFJEEOXV26
D'Ieteren Group SA,549300DV5KJ23OKVTW34
DCC PLC,213800UPS1QEE4TD3T45
DEME Group NV,549300FPFPQPKI3PJV37
DEUTZ AG,5299005DETTV58V2PP63
DKSH Holding AG,549300HUUUNHO6FJUS42
DO & CO AG,5299002NFQKOBT1E8569
DS Smith Ltd,39RSBE4RCI4M15BLWH36
DSM-Firmenich AG,506700G44V67MPM4BI12
DSV A/S,529900X41C0BSLK67H70
Daetwyler Holding AG,52990096G2IJ89SWI669
Daimler Truck Holding AG,529900PW78JIYOUBSR24
Danieli & C Officine Meccaniche SpA,815600B4B8C6A353E566
Danone SA,969500KMUQ2B6CBAF162
Dassault Aviation SA,969500CVFTUT88V8QN95
Davide Campari Milano NV,213800ED5AN2J56N6Z02
De' Longhi SpA,8156000E09A52C4F8A38
Deliveroo PLC,984500F6537F74DDEE77
Delivery Hero SE,529900C3EX1FZGE48X78
Deutsche Lufthansa AG,529900PH63HYJ86ASW55
Deutsche Post AG,8ER8GIG7CSMVD8VUFE78
Diageo PLC,213800ZVIELEA55JMJ32
Diploma PLC,2138008OGI7VYG8FGR19
Dmg Mori AG,529900HXE4EQIHJY8518
Dogan Sirketler Grubu Holding AS,789000J24Q4JM3H6UX22
Dometic Group AB (publ),549300STIPMK5VSA7Y59
Domino's Pizza Group PLC,213800Q6ZKHAOV48JL75
Dormakaba Holding AG,529900QMU5ZH99KMQK13
Dottikon Es Holding AG,50670064H782SV8G2Z44
Dr Ing hc F Porsche AG,529900EWEX125AULXI58
Dr Martens PLC,213800QPT8YM6NQZPH28
Drax Group PLC,549300YPSNTXR4ZHSR98
Duerr AG,5299003APZ54EDTSRO20
Dunelm Group PLC,213800WCOWEI3T5DUV19
E.ON SE,Q9MAIUP40P25UFBFG033
EDAG Engineering Group AG,529900LQ2ZJ7F5Z4KN18
EDP Renovaveis SA,529900MUFAH07Q1TAX06
EDP SA,529900CLC3WDMGI9VH80
ENKA Insaat ve Sanayi AS,789000EE9HXTYDRH9O46
ERG SpA,8156004604684CA44A90
EVN AG,529900P4JZBFEVNEAE60
Easyjet PLC,2138001S47XKWIB7TH90
Eaton Corporation PLC,549300VDIGTMXUNT7H71
Ebro Foods SA,959800NW6DLQT89M3240
Edison SpA,529900WS2E20BA5J4L49
Eiffage SA,969500OQXKE5WDM9M994
Electricite De France SA,549300X3UK4GG3FNMO06
Electrolux AB,549300Y3HHZB1ZGFPJ93
Elia Group SA,549300S1MP1NFDIKT460
